$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
 3.3000e-11, 3.3000e-11, 2.0409e-08, 2.0376e-08,  25.00000,1
 3.4000e-11, 3.4000e-11, 2.0410e-08, 2.0376e-08,  25.00000,1
 3.5000e-11, 3.5000e-11, 2.0411e-08, 2.0376e-08,  25.00000,1
 3.6000e-11, 3.6000e-11, 2.0412e-08, 2.0376e-08,  25.00000,1
 3.7000e-11, 3.7000e-11, 2.0413e-08, 2.0376e-08,  25.00000,1
 3.8000e-11, 3.8000e-11, 2.0414e-08, 2.0376e-08,  25.00000,1
 3.9000e-11, 3.9000e-11, 2.0415e-08, 2.0376e-08,  25.00000,1
 4.0000e-11, 4.0000e-11, 2.0416e-08, 2.0376e-08,  25.00000,1
 4.1000e-11, 4.1000e-11, 2.0417e-08, 2.0376e-08,  25.00000,1
 4.2000e-11, 4.2000e-11, 2.0418e-08, 2.0376e-08,  25.00000,1
 4.3000e-11, 4.3000e-11, 2.0419e-08, 2.0376e-08,  25.00000,1
 4.4000e-11, 4.4000e-11, 2.0420e-08, 2.0376e-08,  25.00000,1
 4.5000e-11, 4.5000e-11, 2.0421e-08, 2.0376e-08,  25.00000,1
 4.6000e-11, 4.6000e-11, 2.0422e-08, 2.0376e-08,  25.00000,1
 4.7000e-11, 4.7000e-11, 2.0423e-08, 2.0376e-08,  25.00000,1
 4.8000e-11, 4.8000e-11, 2.0424e-08, 2.0376e-08,  25.00000,1
 4.9000e-11, 4.9000e-11, 2.0425e-08, 2.0376e-08,  25.00000,1
 5.0000e-11, 5.0000e-11, 2.0426e-08, 2.0376e-08,  25.00000,1
 5.1000e-11, 5.1000e-11, 2.0427e-08, 2.0376e-08,  25.00000,1
 5.2000e-11, 5.2000e-11, 2.0428e-08, 2.0376e-08,  25.00000,1
 5.3000e-11, 5.3000e-11, 2.0429e-08, 2.0376e-08,  25.00000,1
 5.4000e-11, 5.4000e-11, 2.0430e-08, 2.0376e-08,  25.00000,1
 5.5000e-11, 5.5000e-11, 2.0431e-08, 2.0376e-08,  25.00000,1
 5.6000e-11, 5.6000e-11, 2.0432e-08, 2.0376e-08,  25.00000,1
 5.7000e-11, 5.7000e-11, 2.0433e-08, 2.0376e-08,  25.00000,1
 5.8000e-11, 5.8000e-11, 2.0434e-08, 2.0376e-08,  25.00000,1
 5.9000e-11, 5.9000e-11, 2.0435e-08, 2.0376e-08,  25.00000,1
 6.0000e-11, 6.0000e-11, 2.0436e-08, 2.0376e-08,  25.00000,1
 6.1000e-11, 6.1000e-11, 2.0437e-08, 2.0376e-08,  25.00000,1
 6.2000e-11, 6.2000e-11, 2.0438e-08, 2.0376e-08,  25.00000,1
 6.3000e-11, 6.3000e-11, 2.0439e-08, 2.0376e-08,  25.00000,1
 6.4000e-11, 6.4000e-11, 2.0440e-08, 2.0376e-08,  25.00000,1
 6.5000e-11, 6.5000e-11, 2.0441e-08, 2.0376e-08,  25.00000,1
 6.6000e-11, 6.6000e-11, 2.0442e-08, 2.0376e-08,  25.00000,1
 6.7000e-11, 6.7000e-11, 2.0443e-08, 2.0376e-08,  25.00000,1
 6.8000e-11, 6.8000e-11, 2.0444e-08, 2.0376e-08,  25.00000,1
 6.9000e-11, 6.9000e-11, 2.0445e-08, 2.0376e-08,  25.00000,1
 7.0000e-11, 7.0000e-11, 2.0446e-08, 2.0376e-08,  25.00000,1
 7.1000e-11, 7.1000e-11, 2.0447e-08, 2.0376e-08,  25.00000,1
 7.2000e-11, 7.2000e-11, 2.0448e-08, 2.0376e-08,  25.00000,1
 7.3000e-11, 7.3000e-11, 5.7672e-10, 5.0372e-10,  25.00000,1
 7.4000e-11, 7.4000e-11, 5.1854e-10, 4.4454e-10,  25.00000,1
 7.5000e-11, 7.5000e-11, 5.0360e-10, 4.2860e-10,  25.00000,1
 7.6000e-11, 7.6000e-11, 4.9588e-10, 4.1988e-10,  25.00000,1
 7.7000e-11, 7.7000e-11, 4.9142e-10, 4.1442e-10,  25.00000,1
 7.8000e-11, 7.8000e-11, 4.8800e-10, 4.1000e-10,  25.00000,1
 7.9000e-11, 7.9000e-11, 4.8582e-10, 4.0682e-10,  25.00000,1
 8.0000e-11, 8.0000e-11, 4.8425e-10, 4.0425e-10,  25.00000,1
 8.1000e-11, 8.1000e-11, 4.8312e-10, 4.0212e-10,  25.00000,1
 8.2000e-11, 8.2000e-11, 4.8247e-10, 4.0047e-10,  25.00000,1
 8.3000e-11, 8.3000e-11, 4.8178e-10, 3.9878e-10,  25.00000,1
 8.4000e-11, 8.4000e-11, 4.8122e-10, 3.9722e-10,  25.00000,1
 8.5000e-11, 8.5000e-11, 4.8102e-10, 3.9602e-10,  25.00000,1
 8.6000e-11, 8.6000e-11, 4.8093e-10, 3.9493e-10,  25.00000,1
